Eksāmens;Novads;Iestāde; Iestādes vidējais ;Kārtotāju skaits;0-9%;10-19%;20-29%;30-39%;40-49%;50-59%;60-69%;70-79%;80-89%;90-100%
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Aizkraukles novada vidusskola; 58,1   ;74;1;1;5;12;6;11;14;7;11;6
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Andreja Upīša Skrīveru vidusskola; 66,2   ;48;;;3;3;4;6;8;8;12;4
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Bebru pamatskola; 29,1   ;13;1;8;;;;2;;;2;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Daudzeses pamatskola; 29,5   ;2;;;1;1;;;;;;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Ilmāra Gaiša Kokneses vidusskola; 56,0   ;28;;1;4;4;3;3;3;4;1;5
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Jaunjelgavas vidusskola; 47,9   ;17;;4;3;1;1;1;1;3;1;2
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Mazzalves pamatskola; 41,5   ;8;;;4;;;3;;1;;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Neretas Jāņa Jaunsudrabiņa vidusskola; 47,5   ;13;;2;1;2;3;1;2;;1;1
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Pļaviņu vidusskola; 49,4   ;35;2;2;5;4;5;3;5;4;5;
Eksāmens matemātikā 9.klasei;Aizkraukles novads;Seces pamatskola; 78,3   ;6;;;;;1;;;2;1;2
Eksāmens matemātikā 9.klasei;Alūksnes novads;Alekseja Grāvīša Liepnas pamatskola; 18,1   ;14;4;6;1;1;1;1;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Alūksnes novada vidusskola; 22,5   ;26;4;9;5;5;1;2;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Bejas pamatskola; 36,7   ;7;1;;1;2;1;2;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Ernsta Glika Alūksnes Valsts ģimnāzija; 59,2   ;51;;;2;4;12;10;5;8;8;2
Eksāmens matemātikā 9.klasei;Alūksnes novads;Jaunannas Mūzikas un mākslas pamatskola; 71,4   ;7;;;;1;;;1;2;2;1
Eksāmens matemātikā 9.klasei;Alūksnes novads;Malienas pamatskola; 20,4   ;11;;7;2;;2;;;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Strautiņu pamatskola; 33,3   ;12;1;3;2;1;2;2;1;;;
Eksāmens matemātikā 9.klasei;Alūksnes novads;Ziemeru pamatskola; 54,6   ;9;;;;2;1;2;2;2;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Bebrenes vispārizglītojošā un profesionālā vidusskola; 51,1   ;9;;;1;3;1;1;1;;2;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Biķernieku pamatskola; 48,5   ;6;;;;3;1;;;2;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Ilūkstes Raiņa vidusskola; 57,0   ;34;1;2;2;7;1;3;5;4;6;3
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Kalupes pamatskola; 44,4   ;5;;;;2;1;2;;;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Laucesas pamatskola; 35,8   ;16;;3;6;2;2;;1;1;1;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Lāču pamatskola; 48,8   ;9;;2;1;1;1;;1;1;1;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Naujenes pamatskola; 51,9   ;9;;;;2;1;4;2;;;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Randenes pamatskola; 61,1   ;7;;;;1;2;;2;;1;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Salienas vidusskola; 47,9   ;13;;;1;4;3;3;1;;;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Sventes vidusskola; 62,5   ;16;;;;1;5;2;1;2;4;1
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Špoģu vidusskola; 45,8   ;26;;5;4;3;3;3;;5;3;
Eksāmens matemātikā 9.klasei;Augšdaugavas novads;Zemgales vidusskola; 66,2   ;5;;;;;1;2;;1;;1
Eksāmens matemātikā 9.klasei;Ādažu novads;Ādažu vidusskola; 60,9   ;169;3;9;10;13;21;18;24;24;27;20
Eksāmens matemātikā 9.klasei;Ādažu novads;Carnikavas pamatskola; 56,6   ;44;1;3;7;4;2;5;2;8;7;5
Eksāmens matemātikā 9.klasei;Ādažu novads;Privātā vidusskola Ādažu Brīvā Valdorfa skola; 56,2   ;20;;;2;3;4;2;4;1;3;1
Eksāmens matemātikā 9.klasei;Balvu novads;Baltinavas vidusskola; 28,1   ;9;;4;3;1;;;1;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Balvu profesionālā un vispārizglītojošā vidusskola; 22,3   ;28;2;12;7;4;2;1;;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Balvu Valsts ģimnāzija; 53,6   ;56;1;3;8;6;6;7;9;7;7;2
Eksāmens matemātikā 9.klasei;Balvu novads;Bērzpils pamatskola; 39,0   ;5;;1;1;1;1;;1;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Eglaines pamatskola; 57,0   ;6;;;;;2;2;;1;1;
Eksāmens matemātikā 9.klasei;Balvu novads;Rekavas vidusskola; 62,0   ;9;;;1;1;2;;;2;2;1
Eksāmens matemātikā 9.klasei;Balvu novads;Rugāju vidusskola; 37,5   ;22;;1;7;8;2;1;2;;1;
Eksāmens matemātikā 9.klasei;Balvu novads;Stacijas pamatskola; 45,8   ;6;;1;1;;2;;1;;1;
Eksāmens matemātikā 9.klasei;Balvu novads;Tilžas pamatskola; 37,9   ;7;;2;1;;1;2;1;;;
Eksāmens matemātikā 9.klasei;Balvu novads;Viduču pamatskola; 50,1   ;7;;;1;2;2;;1;;;1
Eksāmens matemātikā 9.klasei;Balvu novads;Viļakas Valsts ģimnāzija; 53,5   ;15;;;4;1;2;2;1;2;2;1
Eksāmens matemātikā 9.klasei;Bauskas novads;Bauskas 2. vidusskola; 47,1   ;56;5;7;4;6;8;7;6;7;1;5
Eksāmens matemātikā 9.klasei;Bauskas novads;Bauskas pilsētas pamatskola; 42,9   ;35;2;7;5;3;1;6;4;6;1;
Eksāmens matemātikā 9.klasei;Bauskas novads;Bauskas Valsts ģimnāzija; 57,7   ;63;;1;4;13;7;9;9;6;10;4
Eksāmens matemātikā 9.klasei;Bauskas novads;Codes pamatskola; 42,1   ;14;;2;2;3;3;1;1;1;1;
Eksāmens matemātikā 9.klasei;Bauskas novads;Griķu pamatskola; 29,1   ;9;1;1;2;2;3;;;;;
Eksāmens matemātikā 9.klasei;Bauskas novads;Iecavas pamatskola; 26,5   ;15;;7;4;1;1;;2;;;
Eksāmens matemātikā 9.klasei;Bauskas novads;Iecavas vidusskola; 49,6   ;77;1;11;12;8;6;6;10;9;8;6
Eksāmens matemātikā 9.klasei;Bauskas novads;Īslīces pamatskola; 26,6   ;17;4;4;2;2;4;;;;1;
Eksāmens matemātikā 9.klasei;Bauskas novads;Misas pamatskola; 45,6   ;10;;2;2;1;1;;1;1;2;
Eksāmens matemātikā 9.klasei;Bauskas novads;Pilsrundāles vidusskola; 57,9   ;29;;;4;4;3;3;5;3;5;2
Eksāmens matemātikā 9.klasei;Bauskas novads;Skaistkalnes vidusskola; 27,6   ;16;;7;4;3;;1;;;1;
Eksāmens matemātikā 9.klasei;Bauskas novads;Uzvaras pamatskola; 49,3   ;18;;;3;4;2;4;2;1;1;1
Eksāmens matemātikā 9.klasei;Bauskas novads;Valles pamatskola; 47,7   ;7;;;2;;2;1;1;;1;
Eksāmens matemātikā 9.klasei;Bauskas novads;Vecsaules pamatskola; 27,8   ;9;1;3;2;2;;;;;1;
Eksāmens matemātikā 9.klasei;Bauskas novads;Vecumnieku vidusskola; 45,0   ;37;1;5;9;4;3;4;4;1;3;3
Eksāmens matemātikā 9.klasei;Cēsu novads;Amatas pamatskola; 27,8   ;9;1;2;2;1;3;;;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Cēsu 1. pamatskola; 53,6   ;24;;;1;7;5;3;2;;5;1
Eksāmens matemātikā 9.klasei;Cēsu novads;Cēsu 2. pamatskola; 35,5   ;35;;9;9;2;6;3;5;;1;
Eksāmens matemātikā 9.klasei;Cēsu novads;Cēsu Bērzaines pamatskola-attīstības centrs; 61,7   ;6;;;;;;2;4;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Cēsu Jaunā vidusskola; 53,0   ;8;;1;2;1;;;;2;2;
Eksāmens matemātikā 9.klasei;Cēsu novads;Cēsu Pilsētas vidusskola; 48,5   ;59;;3;9;8;10;9;11;5;2;2
Eksāmens matemātikā 9.klasei;Cēsu novads;Cēsu Valsts ģimnāzija; 77,4   ;54;;;;;4;6;3;12;17;12
Eksāmens matemātikā 9.klasei;Cēsu novads;Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija; 65,1   ;36;;;1;3;4;6;5;8;5;4
Eksāmens matemātikā 9.klasei;Cēsu novads;Dzērbenes vispārizglītojošā un mūzikas pamatskola; 31,4   ;5;1;;2;;1;1;;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Jauno Līderu vidusskola; 34,2   ;16;2;3;2;;5;3;1;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Jaunpiebalgas vidusskola; 51,5   ;22;1;1;3;1;5;4;1;2;2;2
Eksāmens matemātikā 9.klasei;Cēsu novads;Liepas pamatskola; 32,5   ;11;;5;2;1;1;;;1;;1
Eksāmens matemātikā 9.klasei;Cēsu novads;Nītaures mūzikas un mākslas pamatskola; 51,7   ;3;;;;;1;1;1;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Priekuļu vidusskola; 41,4   ;37;;7;8;5;3;4;3;6;1;
Eksāmens matemātikā 9.klasei;Cēsu novads;Rāmuļu pamatskola; 20,5   ;8;1;4;1;;2;;;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Skujenes pamatskola; 23,5   ;6;;2;3;;1;;;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Stalbes pamatskola; 22,7   ;7;;4;;3;;;;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Straupes pamatskola; 34,7   ;6;;2;;2;1;;1;;;
Eksāmens matemātikā 9.klasei;Cēsu novads;Vecpiebalgas vidusskola; 27,1   ;18;4;5;4;2;;;1;;1;1
Eksāmens matemātikā 9.klasei;Cēsu novads;Zaubes pamatskola; 52,0   ;2;;;1;;;;;;1;
Eksāmens matemātikā 9.klasei;Daugavpils;18. NOVEMBRA IELA 66A, DAUGAVPILS, LV-5401; 41,2   ;11;;;1;4;4;2;;;;
Eksāmens matemātikā 9.klasei;Daugavpils;AVEŅU IELA 40, DAUGAVPILS, LV-5422; 36,3   ;62;4;17;12;5;6;6;2;4;3;3
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils 11. pamatskola; 17,3   ;20;9;3;3;5;;;;;;
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Centra vidusskola; 53,1   ;54;2;5;4;7;7;3;11;5;7;3
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Iespēju vidusskola; 42,2   ;147;11;13;29;19;18;17;14;17;7;2
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Saskaņas pamatskola; 66,8   ;49;;2;2;4;4;3;4;14;10;6
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Stropu pamatskola - attīstības centrs; 30,8   ;13;1;1;5;2;3;1;;;;
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Tehnoloģiju vidusskola - licejs; 84,3   ;57;;;;1;;2;4;9;16;25
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Valsts ģimnāzija; 72,8   ;52;;;1;3;4;3;9;10;8;14
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Valstspilsētas vidusskola; 36,9   ;88;6;18;13;17;7;11;7;6;;3
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Vienības pamatskola; 44,6   ;24;1;2;1;7;3;3;4;2;;1
Eksāmens matemātikā 9.klasei;Daugavpils;Daugavpils Zinātņu vidusskola; 56,1   ;123;;7;7;18;20;17;13;14;20;7
Eksāmens matemātikā 9.klasei;Daugavpils;J. Raiņa Daugavpils 6. pamatskola; 25,3   ;26;4;10;3;3;1;4;1;;;
Eksāmens matemātikā 9.klasei;Daugavpils;J.Pilsudska Daugavpils valsts poļu ģimnāzija; 61,6   ;37;;1;1;5;4;3;8;6;6;3
Eksāmens matemātikā 9.klasei;Daugavpils;VALMIERAS IELA 5, DAUGAVPILS, LV-5404; 31,3   ;19;1;3;3;8;3;;1;;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Aizputes pagasta pamatskola; 30,7   ;9;2;1;2;;2;2;;;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Aizputes vidusskola; 33,9   ;43;7;11;7;4;1;3;5;4;1;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Ata Kronvalda Durbes pamatskola; 53,3   ;18;;1;2;5;1;3;;1;3;2
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Dienvidkurzemes 2. vidusskola; 32,5   ;10;;1;4;3;1;;1;;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Dzērves pamatskola; 40,4   ;5;;;3;;;;1;1;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Kalētu Mūzikas un mākslas pamatskola; 50,1   ;8;;1;;2;1;;2;1;1;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Kalvenes pamatskola; 58,4   ;7;1;;1;;;1;2;;1;1
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Krotes Kronvalda Ata pamatskola; 34,1   ;10;1;3;1;2;;;2;1;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Māteru Jura Kazdangas pamatskola; 48,4   ;14;;3;2;;1;3;3;;1;1
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Nīcas vidusskola; 50,6   ;31;;2;8;2;5;2;4;2;3;3
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Pāvilostas pamatskola; 54,5   ;6;;;1;2;;;1;;2;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Priekules vidusskola; 41,7   ;21;1;4;4;2;3;1;2;1;1;2
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Rucavas pamatskola; 45,6   ;5;;;;1;3;;;1;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Vaiņodes vidusskola; 44,9   ;16;;2;3;2;2;2;3;;2;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Vērgales pamatskola; 33,4   ;15;1;4;3;3;;2;1;1;;
Eksāmens matemātikā 9.klasei;Dienvidkurzemes novads;Zentas Mauriņas Grobiņas vidusskola; 40,7   ;86;6;12;19;13;7;5;8;8;5;3
Eksāmens matemātikā 9.klasei;Dobeles novads;Annas Brigaderes pamatskola; 37,2   ;9;;2;1;;5;;;1;;
Eksāmens matemātikā 9.klasei;Dobeles novads;Auces vidusskola; 40,7   ;46;4;7;7;6;5;5;5;5;2;
Eksāmens matemātikā 9.klasei;Dobeles novads;Augstkalnes pamatskola; 36,4   ;19;1;6;2;3;2;1;;2;1;1
Eksāmens matemātikā 9.klasei;Dobeles novads;Bēnes pamatskola; 24,6   ;17;3;5;3;3;1;1;1;;;
Eksāmens matemātikā 9.klasei;Dobeles novads;Bikstu pamatskola; 40,4   ;9;;2;2;1;;2;1;;1;
Eksāmens matemātikā 9.klasei;Dobeles novads;Dobeles 1. vidusskola; 35,5   ;79;3;13;14;19;12;9;6;3;;
Eksāmens matemātikā 9.klasei;Dobeles novads;Dobeles Amatniecības un vispārizglītojošā vidusskola; 10,0   ;5;2;3;;;;;;;;
Eksāmens matemātikā 9.klasei;Dobeles novads;Dobeles Valsts ģimnāzija; 72,0   ;53;;;1;7;1;5;6;8;12;13
Eksāmens matemātikā 9.klasei;Dobeles novads;Gardenes pamatskola; 34,2   ;5;;2;1;1;;;;;1;
Eksāmens matemātikā 9.klasei;Dobeles novads;Mežinieku pamatskola; 18,2   ;9;5;1;;2;;1;;;;
Eksāmens matemātikā 9.klasei;Dobeles novads;Penkules pamatskola; 37,7   ;10;;1;3;3;1;;1;;1;
Eksāmens matemātikā 9.klasei;Gulbenes novads;Gulbenes novada vidusskola; 45,0   ;86;1;10;10;18;10;11;16;4;4;2
Eksāmens matemātikā 9.klasei;Gulbenes novads;Gulbīša pamatskola; 38,5   ;4;;1;1;1;;;;;1;
Eksāmens matemātikā 9.klasei;Gulbenes novads;Lejasciema pamatskola; 47,0   ;11;;;2;3;1;2;1;1;1;
Eksāmens matemātikā 9.klasei;Gulbenes novads;Lizuma pamatskola; 50,8   ;12;;;;4;3;1;2;1;1;
Eksāmens matemātikā 9.klasei;Gulbenes novads;Rankas pamatskola; 20,2   ;5;3;1;;;;;1;;;
Eksāmens matemātikā 9.klasei;Gulbenes novads;Stāķu pamatskola; 34,1   ;10;1;2;2;2;1;1;;1;;
Eksāmens matemātikā 9.klasei;Gulbenes novads;Tirzas pamatskola; 23,6   ;11;3;2;3;;2;;1;;;
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas 4. vidusskola; 44,0   ;109;2;8;25;19;10;23;7;5;8;2
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas 5. vidusskola; 60,3   ;64;;3;5;4;7;9;12;9;11;4
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas Amatu vidusskola; 9,8   ;29;15;12;;2;;;;;;
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas Centra pamatskola; 32,2   ;55;5;12;11;10;7;4;3;3;;
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas cietums; 35,0   ;3;;;;2;1;;;;;
Eksāmens matemātikā 9.klasei;Jelgava;"Jelgavas pamatskola ""Valdeka"" - attīstības centrs"; 54,0   ;3;;;;1;1;;;;1;
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas Pārlielupes pamatskola; 37,8   ;45;4;10;9;4;4;4;2;2;4;2
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas Spīdolas Valsts ģimnāzija; 52,8   ;111;;6;12;15;17;17;19;10;10;5
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas Tehnoloģiju vidusskola; 35,8   ;79;5;10;20;15;10;7;6;3;3;
Eksāmens matemātikā 9.klasei;Jelgava;Jelgavas Valsts ģimnāzija; 70,1   ;173;;2;4;7;13;21;21;39;36;30
Eksāmens matemātikā 9.klasei;Jelgavas novads;Aizupes pamatskola; 30,8   ;20;4;3;4;3;3;1;;1;;1
Eksāmens matemātikā 9.klasei;Jelgavas novads;Elejas vidusskola; 38,3   ;31;2;5;5;8;1;3;5;1;1;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Garozas pamatskola; 24,0   ;6;1;1;3;;1;;;;;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Jelgavas novada Neklātienes vidusskola; 28,8   ;12;2;1;5;1;1;1;1;;;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Kalnciema pagasta pamatskola; 7,3   ;3;2;1;;;;;;;;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Kalnciema vidusskola; 33,0   ;24;5;3;3;4;3;3;1;2;;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Līvbērzes pamatskola; 32,4   ;14;;5;4;2;;;1;1;1;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Ozolnieku vidusskola; 44,5   ;54;;8;7;9;11;5;5;5;2;2
Eksāmens matemātikā 9.klasei;Jelgavas novads;Sesavas pamatskola; 13,9   ;10;4;3;3;;;;;;;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Staļģenes vidusskola; 40,4   ;24;2;3;6;2;2;3;;4;2;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Svētes pamatskola; 50,3   ;16;;1;;6;2;2;;3;2;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Šķibes pamatskola; 36,5   ;13;;3;3;2;2;1;;1;1;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Teteles pamatskola; 41,9   ;22;;4;3;6;2;2;;2;3;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Vilces pamatskola; 42,7   ;7;;;2;3;;1;;;1;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Vircavas pamatskola; 37,4   ;18;1;4;2;;5;4;2;;;
Eksāmens matemātikā 9.klasei;Jelgavas novads;Zaļenieku komerciālā un amatniecības vidusskola; 24,4   ;16;5;3;2;3;;2;1;;;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Aknīstes vidusskola; 39,7   ;17;;1;5;3;3;2;1;1;1;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Ābeļu pamatskola; 19,4   ;14;6;3;2;;2;;1;;;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Biržu pamatskola; 37,8   ;11;3;;2;2;;1;1;1;1;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Dignājas pamatskola; 32,5   ;2;;1;;;1;;;;;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Jēkabpils 2. vidusskola; 44,5   ;54;3;11;7;4;4;9;7;1;4;4
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Jēkabpils 3. vidusskola; 39,5   ;61;3;12;13;9;3;5;7;3;3;3
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Jēkabpils Valsts ģimnāzija; 59,1   ;78;;;8;9;8;14;11;10;14;4
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Krustpils pamatskola; 31,8   ;20;2;5;5;2;1;2;1;2;;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Rubeņu pamatskola; 29,2   ;5;1;2;;;;1;1;;;
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Salas vidusskola; 52,1   ;35;;5;4;2;3;7;5;4;3;2
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Sūnu pamatskola; 40,1   ;19;;4;4;3;2;3;1;;1;1
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Viesītes vidusskola; 50,2   ;19;;1;3;3;3;2;3;2;1;1
Eksāmens matemātikā 9.klasei;Jēkabpils novads;Zasas vidusskola; 28,4   ;14;3;6;;;1;2;1;;1;
Eksāmens matemātikā 9.klasei;Jūrmala;JŪRMALA; 26,6   ;5;;2;2;;1;;;;;
Eksāmens matemātikā 9.klasei;Jūrmala;Jūrmalas Aspazijas pamatskola; 57,7   ;20;;2;3;1;1;3;1;3;4;2
Eksāmens matemātikā 9.klasei;Jūrmala;Jūrmalas Jaundubultu pamatskola; 54,2   ;36;;1;3;3;8;6;5;5;5;
Eksāmens matemātikā 9.klasei;Jūrmala;Jūrmalas Kauguru vidusskola; 45,1   ;47;3;5;7;7;6;7;1;2;8;1
Eksāmens matemātikā 9.klasei;Jūrmala;Jūrmalas Ķemeru pamatskola; 44,8   ;16;2;;3;3;2;1;2;1;1;1
