Eksāmens;Novads;Iestāde; Iestādes vidējais ;Kārtotāju skaits;0-9%;10-19%;20-29%;30-39%;40-49%;50-59%;60-69%;70-79%;80-89%;90-100%
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 63. pamatskola; 29,8   ;67;11;15;10;12;3;11;2;1;1;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 64. vidusskola; 69,7   ;124;;;3;7;9;13;23;23;30;16
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 66. vidusskola; 41,0   ;21;1;1;6;4;3;1;2;;2;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 69. pamatskola; 46,8   ;27;2;2;1;6;3;6;3;1;2;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 71. vidusskola; 49,0   ;50;3;2;5;6;8;6;10;9;1;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 72. vidusskola; 51,3   ;99;1;9;14;12;16;8;11;8;14;6
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 74. pamatskola; 38,2   ;52;5;8;8;7;7;7;4;3;2;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 75. vidusskola; 44,1   ;35;3;8;6;1;1;2;6;1;4;3
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 80. vidusskola; 50,6   ;69;2;9;5;8;6;8;13;11;5;2
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 84. vidusskola; 49,6   ;111;5;18;12;7;11;11;14;16;9;8
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 85. pamatskola; 58,7   ;32;;4;1;4;3;2;6;4;4;4
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 86. vidusskola; 37,3   ;63;8;13;7;7;7;8;5;3;4;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 88. vidusskola; 44,8   ;93;6;18;5;15;8;9;12;9;6;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 89. vidusskola; 41,1   ;38;6;6;3;4;4;4;4;4;3;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 9. vidusskola; 28,3   ;12;3;2;1;1;4;1;;;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 92. vidusskola; 47,6   ;72;6;10;10;4;6;11;6;5;7;7
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 93. vidusskola; 48,6   ;45;;7;6;5;3;8;6;5;4;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 95. vidusskola; 43,5   ;111;8;13;14;15;18;12;11;9;6;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas 96. vidusskola; 53,9   ;96;3;10;8;9;11;11;8;21;10;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Angļu ģimnāzija; 62,9   ;111;;3;8;7;10;17;16;24;18;8
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Anniņmuižas vidusskola; 49,4   ;63;2;8;7;5;4;17;5;4;6;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Arkādijas vidusskola; 40,3   ;40;4;6;8;4;1;8;5;1;2;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Austrumu pamatskola; 36,7   ;23;3;6;1;2;3;3;2;3;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Baltmuižas pamatskola; 28,9   ;42;14;8;4;5;1;3;1;3;2;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Bolderājas Jaunā pamatskola; 26,4   ;14;;8;1;2;;2;1;;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Centra daiļamatniecības pamatskola; 69,1   ;33;;;2;1;2;6;4;6;6;6
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Centra humanitārā vidusskola; 76,6   ;113;;;1;2;6;10;17;20;22;35
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Čiekurkalna pamatskola; 51,1   ;18;2;;3;3;1;;2;3;3;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Daugavgrīvas pamatskola; 60,5   ;35;;2;2;4;5;3;4;5;4;6
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Doma kora skola; 71,4   ;23;;;;1;;3;2;13;3;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Franču licejs; 75,3   ;81;;;1;3;6;8;7;13;22;21
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Hanzas vidusskola; 57,6   ;99;5;3;10;7;9;14;7;21;18;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Igauņu pamatskola; 66,2   ;18;;;2;1;2;;4;3;4;2
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Iļģuciema pamatskola; 59,1   ;57;2;1;7;2;9;6;6;4;15;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Imantas vidusskola; 52,9   ;102;3;5;14;12;11;12;16;10;13;6
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Itas Kozakēvičas Poļu vidusskola; 54,3   ;24;;1;5;2;1;3;4;3;4;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Juglas vidusskola; 57,8   ;109;1;8;4;10;16;14;16;18;16;6
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Katoļu ģimnāzija; 57,2   ;13;;1;;2;2;1;3;2;1;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Kultūru vidusskola; 54,0   ;73;2;6;6;10;9;7;6;12;10;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Ķengaraga vidusskola; 46,0   ;55;3;10;5;7;3;6;9;4;4;4
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Lietuviešu vidusskola; 51,8   ;59;5;4;7;4;7;7;5;7;8;5
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Natālijas Draudziņas vidusskola; 60,9   ;83;2;2;4;11;7;9;18;7;14;9
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Ostvalda vidusskola; 58,5   ;82;;7;6;5;10;13;13;6;12;10
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Pārdaugavas pamatskola; 39,0   ;36;2;8;9;1;2;3;4;5;1;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Pļavnieku pamatskola; 44,1   ;58;2;12;12;2;5;5;9;2;6;3
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Purvciema vidusskola; 60,6   ;128;;12;13;10;6;15;13;16;23;20
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Raiņa vidusskola; 32,7   ;26;3;5;4;6;3;1;3;1;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Reinholda Šmēlinga vidusskola; 22,0   ;23;5;6;5;4;2;1;;;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Reinholda Šmēlinga vidusskolas struktūrvienība - Iļģuciema cietums; 56,0   ;1;;;;;;1;;;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Reinholda Šmēlinga vidusskolas struktūrvienība - Rīgas Centrālcietums; 46,9   ;10;;;;1;6;3;;;;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Rīnūžu vidusskola; 58,2   ;57;;1;10;8;4;4;7;9;5;9
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Sarkandaugavas pamatskola; 43,2   ;25;2;6;1;1;4;3;3;4;;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Sergeja Žoltoka pamatskola; 39,1   ;33;1;6;5;5;7;4;3;;2;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Tālmācības vidusskola; 28,8   ;78;11;24;8;13;9;6;3;2;2;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Teikas vidusskola; 70,8   ;89;;1;4;;5;10;14;26;18;11
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Ukraiņu vidusskola; 39,0   ;21;;6;2;4;1;3;3;1;1;
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Valdorfskola; 41,0   ;62;4;11;14;5;5;5;7;3;6;2
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Valsts 1. ģimnāzija; 93,6   ;119;1;;;;;;;2;10;106
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Valsts 2. ģimnāzija; 91,8   ;88;;;;;;;;1;25;62
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Valsts 3. ģimnāzija; 89,6   ;84;;;;;;;2;6;20;56
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Valsts klasiskā ģimnāzija; 63,2   ;148;1;5;8;11;13;15;24;30;29;12
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Valsts vācu ģimnāzija; 75,4   ;110;;;;;3;13;14;32;34;14
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Ziepniekkalna vidusskola; 41,7   ;77;5;12;9;14;9;8;7;5;7;1
Eksāmens matemātikā 9.klasei;Rīga;Rīgas Zolitūdes ģimnāzija; 67,3   ;110;1;8;9;3;5;6;9;16;33;20
Eksāmens matemātikā 9.klasei;Rīga;Š. Dubnova Rīgas Ebreju vidusskola; 63,8   ;24;;;1;3;4;3;4;2;2;5
Eksāmens matemātikā 9.klasei;Rīga;"Tālmācības vidusskola ""INTELEKTS"""; 28,3   ;3;1;1;;;;;1;;;
Eksāmens matemātikā 9.klasei;Rīga;"Tālmācības vidusskola ""Rīgas 1. vidusskola"""; 25,2   ;164;33;50;30;19;9;8;9;3;1;2
Eksāmens matemātikā 9.klasei;Rīga;"Tālmācības vidusskola ""Rīgas Komercskola"""; 38,0   ;75;2;16;14;12;9;7;7;5;2;1
Eksāmens matemātikā 9.klasei;Rīga;Torņakalna Privātā vidusskola; 24,0   ;2;1;;;;1;;;;;
Eksāmens matemātikā 9.klasei;Rīga;VisLatvijas vidusskola; 36,1   ;34;1;12;2;3;5;4;5;1;1;
Eksāmens matemātikā 9.klasei;Rīga;Ziemeļvalstu ģimnāzija; 51,2   ;89;3;6;11;14;10;11;8;9;11;6
Eksāmens matemātikā 9.klasei;Ropažu novads;Berģu Mūzikas un mākslas pamatskola; 75,6   ;34;;;;1;3;3;4;4;10;9
Eksāmens matemātikā 9.klasei;Ropažu novads;Garkalnes Mākslu un vispārizglītojošā pamatskola; 48,9   ;28;1;1;3;5;4;6;2;2;4;
Eksāmens matemātikā 9.klasei;Ropažu novads;Ropažu vidusskola; 51,0   ;46;;1;7;8;7;9;4;5;4;1
Eksāmens matemātikā 9.klasei;Ropažu novads;Stopiņu pamatskola; 35,3   ;22;1;5;5;4;2;1;2;1;1;
Eksāmens matemātikā 9.klasei;Ropažu novads;Ulbrokas vidusskola; 60,3   ;82;2;4;6;10;3;10;5;18;20;4
Eksāmens matemātikā 9.klasei;Ropažu novads;Vangažu vidusskola; 31,6   ;29;6;8;5;1;1;3;;1;3;1
Eksāmens matemātikā 9.klasei;Salaspils novads;"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola"""; 52,4   ;103;1;9;8;17;11;23;6;6;12;10
Eksāmens matemātikā 9.klasei;Salaspils novads;Salaspils pamatskola; 46,3   ;61;4;5;8;10;6;10;4;9;2;3
Eksāmens matemātikā 9.klasei;Saldus novads;Blīdenes pamatskola; 41,5   ;6;1;1;;1;1;;1;1;;
Eksāmens matemātikā 9.klasei;Saldus novads;Brocēnu vidusskola; 44,4   ;33;;3;5;9;5;4;4;;;3
Eksāmens matemātikā 9.klasei;Saldus novads;Cieceres pamatskola; 27,3   ;21;3;8;4;;2;1;2;1;;
Eksāmens matemātikā 9.klasei;Saldus novads;Druvas vidusskola; 60,8   ;46;;;2;3;12;7;3;8;6;5
Eksāmens matemātikā 9.klasei;Saldus novads;Ezeres pamatskola; 57,1   ;13;;1;1;2;1;1;2;2;3;
Eksāmens matemātikā 9.klasei;Saldus novads;Lutriņu pamatskola; 14,6   ;9;1;5;3;;;;;;;
Eksāmens matemātikā 9.klasei;Saldus novads;Nīgrandes pagasta Kalnu vidusskola; 38,5   ;11;1;1;4;1;;2;1;;1;
Eksāmens matemātikā 9.klasei;Saldus novads;Saldus pamatskola; 59,2   ;37;;;3;4;6;5;5;8;5;1
Eksāmens matemātikā 9.klasei;Saldus novads;Saldus vidusskola; 54,9   ;66;;3;12;7;6;10;3;11;8;6
Eksāmens matemātikā 9.klasei;Saldus novads;Zirņu pamatskola; 34,5   ;10;;2;3;2;;2;1;;;
Eksāmens matemātikā 9.klasei;Saulkrastu novads;Murjāņu sporta ģimnāzija; 39,9   ;32;;2;8;6;8;4;3;1;;
Eksāmens matemātikā 9.klasei;Saulkrastu novads;Saulkrastu novada vidusskola; 52,1   ;54;2;7;7;5;3;7;4;9;5;5
Eksāmens matemātikā 9.klasei;Saulkrastu novads;Sējas pamatskola; 31,9   ;16;4;2;2;2;2;3;;1;;
Eksāmens matemātikā 9.klasei;Siguldas novads;Allažu pamatskola; 38,0   ;18;1;5;2;1;;5;2;2;;
Eksāmens matemātikā 9.klasei;Siguldas novads;Garlība Merķeļa Lēdurgas pamatskola; 29,4   ;7;1;3;;1;;1;1;;;
Eksāmens matemātikā 9.klasei;Siguldas novads;Inčukalna pamatskola; 38,3   ;25;1;7;4;2;2;1;5;1;2;
Eksāmens matemātikā 9.klasei;Siguldas novads;Krimuldas vidusskola; 40,7   ;32;1;3;10;6;1;2;6;1;1;1
Eksāmens matemātikā 9.klasei;Siguldas novads;Mālpils vidusskola; 40,3   ;32;1;6;5;6;6;1;2;2;2;1
Eksāmens matemātikā 9.klasei;Siguldas novads;Mores pamatskola; 31,5   ;6;1;1;1;1;1;;;1;;
Eksāmens matemātikā 9.klasei;Siguldas novads;Siguldas 1. pamatskola; 48,6   ;48;;3;9;11;2;4;9;4;3;3
Eksāmens matemātikā 9.klasei;Siguldas novads;Siguldas pilsētas vidusskola; 41,0   ;69;1;6;16;15;10;5;7;5;3;1
Eksāmens matemātikā 9.klasei;Siguldas novads;Siguldas Valsts ģimnāzija; 79,2   ;86;;;;;3;6;13;15;23;26
Eksāmens matemātikā 9.klasei;Smiltenes novads;Bilskas pamatskola; 35,8   ;5;1;;2;1;;;;;;1
Eksāmens matemātikā 9.klasei;Smiltenes novads;Blomes pamatskola; 19,7   ;3;;2;;1;;;;;;
Eksāmens matemātikā 9.klasei;Smiltenes novads;Dāvja Ozoliņa Apes pamatskola; 40,6   ;18;1;3;3;3;3;1;1;1;1;1
Eksāmens matemātikā 9.klasei;Smiltenes novads;Grundzāles pamatskola; 40,2   ;13;;4;1;1;1;4;1;;1;
Eksāmens matemātikā 9.klasei;Smiltenes novads;Ojāra Vācieša Gaujienas pamatskola; 38,7   ;9;1;1;4;;;1;;1;;1
Eksāmens matemātikā 9.klasei;Smiltenes novads;Palsmanes pamatskola; 38,7   ;14;;3;4;1;1;2;;3;;
Eksāmens matemātikā 9.klasei;Smiltenes novads;Raunas pamatskola; 45,6   ;14;1;3;1;2;2;;;3;1;1
Eksāmens matemātikā 9.klasei;Smiltenes novads;Smiltenes vidusskola; 53,3   ;82;3;5;6;7;11;13;20;6;6;5
Eksāmens matemātikā 9.klasei;Smiltenes novads;Variņu pamatskola; 24,4   ;5;;3;;;2;;;;;
Eksāmens matemātikā 9.klasei;Talsu novads;Dundagas vidusskola; 41,7   ;29;2;6;3;4;3;4;1;3;2;1
Eksāmens matemātikā 9.klasei;Talsu novads;Kolkas pamatskola; 47,5   ;2;;;1;;;;;1;;
Eksāmens matemātikā 9.klasei;Talsu novads;Laucienes pamatskola; 40,4   ;14;1;2;2;3;;3;1;2;;
Eksāmens matemātikā 9.klasei;Talsu novads;Mērsraga vidusskola; 30,3   ;13;;4;5;1;1;1;;;1;
Eksāmens matemātikā 9.klasei;Talsu novads;Pastendes pamatskola; 31,3   ;12;;4;2;3;1;1;1;;;
Eksāmens matemātikā 9.klasei;Talsu novads;Pūņu pamatskola; 57,2   ;6;;;1;;;2;1;2;;
Eksāmens matemātikā 9.klasei;Talsu novads;Rojas vidusskola; 46,6   ;26;;2;3;9;2;3;2;1;4;
Eksāmens matemātikā 9.klasei;Talsu novads;Sabiles pamatskola; 25,9   ;10;1;2;3;3;1;;;;;
Eksāmens matemātikā 9.klasei;Talsu novads;Stendes pamatskola; 56,8   ;11;;;;1;3;3;2;;2;
Eksāmens matemātikā 9.klasei;Talsu novads;Talsu 2. vidusskola; 48,0   ;73;2;4;7;12;18;7;10;3;8;2
Eksāmens matemātikā 9.klasei;Talsu novads;Talsu Kristīgā vidusskola; 52,8   ;32;;2;2;4;6;5;7;3;3;
Eksāmens matemātikā 9.klasei;Talsu novads;Talsu novada vidusskola; 16,5   ;12;2;7;3;;;;;;;
Eksāmens matemātikā 9.klasei;Talsu novads;Talsu pamatskola; 30,9   ;21;2;4;5;4;2;1;2;1;;
Eksāmens matemātikā 9.klasei;Talsu novads;Talsu Valsts ģimnāzija; 56,2   ;61;;1;5;8;15;4;7;9;9;3
Eksāmens matemātikā 9.klasei;Talsu novads;Valdemārpils vidusskola; 46,8   ;27;;5;3;3;3;6;1;3;3;
Eksāmens matemātikā 9.klasei;Tukuma novads;Cēres pamatskola; 25,2   ;12;3;2;4;1;;1;;1;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Džūkstes pamatskola; 40,6   ;10;;1;2;3;1;1;1;1;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Engures vidusskola; 48,8   ;21;1;;2;4;2;6;3;1;1;1
Eksāmens matemātikā 9.klasei;Tukuma novads;Irlavas pamatskola; 38,9   ;14;2;2;;2;4;1;1;2;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Jaunpils vidusskola; 50,6   ;24;;2;2;7;;4;2;4;3;
Eksāmens matemātikā 9.klasei;Tukuma novads;Kandavas Kārļa Mīlenbaha vidusskola; 59,0   ;44;;5;5;3;2;5;1;12;4;7
Eksāmens matemātikā 9.klasei;Tukuma novads;Kandavas Reģionālā pamatskola; 28,2   ;22;;6;6;7;1;2;;;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Lapmežciema pamatskola; 36,0   ;13;1;3;2;1;3;1;1;;;1
Eksāmens matemātikā 9.klasei;Tukuma novads;Pūres pamatskola; 24,2   ;16;2;8;2;2;;1;;1;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Smārdes pamatskola; 61,8   ;19;;2;;3;4;;;3;3;4
Eksāmens matemātikā 9.klasei;Tukuma novads;Tukuma 2. vidusskola; 44,4   ;75;3;11;13;8;10;8;4;7;9;2
Eksāmens matemātikā 9.klasei;Tukuma novads;Tukuma 3. pamatskola; 32,3   ;12;;3;2;3;;4;;;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Tukuma E. Birznieka-Upīša 1. pamatskola; 49,0   ;34;1;4;3;4;4;3;7;5;2;1
Eksāmens matemātikā 9.klasei;Tukuma novads;Tukuma Raiņa Valsts ģimnāzija; 58,3   ;67;;6;6;2;7;12;8;8;12;6
Eksāmens matemātikā 9.klasei;Tukuma novads;Tumes pamatskola; 46,3   ;16;;3;2;2;1;4;1;2;;1
Eksāmens matemātikā 9.klasei;Tukuma novads;Zantes pamatskola; 34,4   ;7;1;1;1;1;1;2;;;;
Eksāmens matemātikā 9.klasei;Tukuma novads;Zemgales vidusskola; 30,9   ;36;4;4;10;9;5;3;;1;;
Eksāmens matemātikā 9.klasei;Valkas novads;Ērģemes pamatskola; 36,9   ;11;;3;;4;1;2;1;;;
Eksāmens matemātikā 9.klasei;Valkas novads;Valkas Jāņa Cimzes ģimnāzija; 54,6   ;47;;3;5;4;11;3;5;7;6;3
Eksāmens matemātikā 9.klasei;Valmieras novads;Burtnieku Ausekļa pamatskola; 58,9   ;7;;;;2;1;;1;2;1;
Eksāmens matemātikā 9.klasei;Valmieras novads;J. Endzelīna Kauguru pamatskola; 38,3   ;12;1;;2;4;2;2;1;;;
Eksāmens matemātikā 9.klasei;Valmieras novads;Jura Neikena Dikļu pamatskola; 29,0   ;8;;2;2;2;1;1;;;;
Eksāmens matemātikā 9.klasei;Valmieras novads;Kocēnu pamatskola; 49,7   ;30;;;9;3;3;3;5;3;4;
Eksāmens matemātikā 9.klasei;Valmieras novads;Matīšu pamatskola; 46,2   ;6;;2;;1;;2;;;;1
Eksāmens matemātikā 9.klasei;Valmieras novads;Mazsalacas vidusskola; 43,3   ;18;2;2;1;2;4;2;1;3;;1
Eksāmens matemātikā 9.klasei;Valmieras novads;Naukšēnu vidusskola; 56,7   ;16;;2;;4;1;1;2;1;2;3
Eksāmens matemātikā 9.klasei;Valmieras novads;Privātā pamatskola VALMIERAS ZAĻĀ SKOLA; 36,0   ;1;;;;1;;;;;;
Eksāmens matemātikā 9.klasei;Valmieras novads;Rencēnu pamatskola; 62,3   ;9;;;1;2;;1;1;;2;2
Eksāmens matemātikā 9.klasei;Valmieras novads;Rubenes pamatskola; 39,6   ;10;1;;3;;2;2;1;1;;
Eksāmens matemātikā 9.klasei;Valmieras novads;Rūjienas vidusskola; 46,7   ;46;1;3;6;11;3;10;6;1;5;
Eksāmens matemātikā 9.klasei;Valmieras novads;Strenču pamatskola; 40,3   ;22;;4;6;3;3;;2;3;1;
Eksāmens matemātikā 9.klasei;Valmieras novads;Trikātas pamatskola; 41,0   ;6;;2;;1;;2;;;1;
Eksāmens matemātikā 9.klasei;Valmieras novads;Universum mūzikas un mākslas vidusskola; 55,3   ;7;;1;1;;2;;1;;1;1
Eksāmens matemātikā 9.klasei;Valmieras novads;Valmieras 2. vidusskola; 39,2   ;35;6;5;5;4;1;3;3;7;;1
Eksāmens matemātikā 9.klasei;Valmieras novads;Valmieras 5. vidusskola; 35,4   ;51;3;11;10;9;5;3;4;3;3;
Eksāmens matemātikā 9.klasei;Valmieras novads;Valmieras Pārgaujas Valsts ģimnāzija; 64,7   ;86;;;3;5;11;15;12;17;14;9
Eksāmens matemātikā 9.klasei;Valmieras novads;Valmieras Valsts ģimnāzija; 58,8   ;67;1;1;4;11;9;7;7;13;5;9
Eksāmens matemātikā 9.klasei;Valmieras novads;Valmieras Viestura vidusskola; 46,9   ;75;;6;12;11;14;11;6;10;4;1
Eksāmens matemātikā 9.klasei;Varakļānu novads;Varakļānu vidusskola; 59,8   ;31;;;3;4;5;3;3;5;6;2
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils 1. pamatskola; 44,8   ;44;1;7;8;6;5;5;2;4;3;3
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils 2. pamatskola; 46,1   ;39;1;7;2;4;8;5;3;5;3;1
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils 2. vidusskola; 48,0   ;44;4;5;4;4;2;11;3;3;6;2
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils 3. pamatskola; 41,3   ;25;1;2;6;5;4;1;;4;1;1
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils 4. vidusskola; 69,1   ;52;;;1;4;3;6;12;6;14;6
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils 6. vidusskola; 38,9   ;55;5;4;9;10;12;5;7;1;1;1
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils Pārventas pamatskola; 28,7   ;29;2;7;9;5;3;2;;;1;
Eksāmens matemātikā 9.klasei;Ventspils;Ventspils Valsts 1. ģimnāzija; 73,6   ;57;;;1;2;4;5;6;16;7;16
Eksāmens matemātikā 9.klasei;Ventspils novads;Piltenes pamatskola; 51,2   ;15;;1;3;2;1;2;2;2;2;
Eksāmens matemātikā 9.klasei;Ventspils novads;Popes pamatskola; 49,4   ;7;;;1;2;1;1;;1;;1
Eksāmens matemātikā 9.klasei;Ventspils novads;Puzes pamatskola; 37,7   ;10;;2;2;2;2;;1;;1;
Eksāmens matemātikā 9.klasei;Ventspils novads;Tārgales pamatskola; 33,9   ;13;1;4;1;1;2;2;2;;;
Eksāmens matemātikā 9.klasei;Ventspils novads;Ugāles vidusskola; 50,8   ;17;;1;2;3;2;2;3;3;;1
Eksāmens matemātikā 9.klasei;Ventspils novads;Užavas pamatskola; 56,8   ;6;;1;1;;;1;;1;1;1
Eksāmens matemātikā 9.klasei;Ventspils novads;Zūru pamatskola; 41,0   ;21;1;3;6;2;;2;5;1;1;
